Brand,Year of Manufacture,Condition,Mileage,Engine Size,Fuel,Transmission,Price
TOYOTA,2007,Foreign Used,149184,4000,Petrol,Automatic,"?6,448,000.00"
LEXUS,2009,Foreign Used,173307,3500,Petrol,Automatic,"?4,500,000.00"
TOYOTA,2009,Foreign Used,208827,2400,Petrol,Automatic,"?3,952,000.00"
LEXUS,2006,Foreign Used,376865,3500,Petrol,Automatic,"?4,680,000.00"
LEXUS,2014,Foreign Used,139592,4600,Petrol,Automatic,"?23,920,000.00"
LEXUS,2008,Nigerian Used,97315,3200,Petrol,Automatic,"?3,640,000.00"
LEXUS,2010,Nigerian Used,140073,3500,Petrol,Automatic,"?4,784,000.00"
TOYOTA,2015,Foreign Used,96531,3500,Petrol,Automatic,"?10,290,000.00"
ACURA,2011,Nigerian Used,78613,3700,Petrol,Automatic,"?6,240,000.00"
LEXUS,2006,Foreign Used,100763,3000,Petrol,Automatic,"?3,150,000.00"
TOYOTA,2007,Nigerian Used,104336,2400,Petrol,Automatic,"?3,328,000.00"
LEXUS,2007,Foreign Used,65060,3500,Petrol,AMT,"?3,885,000.00"
MERCEDES-BENZ,2007,Nigerian Used,1966,35,Petrol,Automatic,"?5,720,000.00"
TOYOTA,2017,Foreign Used,107748,2500,Petrol,Automatic,"?12,600,000.00"
LEXUS,2011,Foreign Used,137902,3000,Petrol,Automatic,"?4,992,000.00"
MERCEDES-BENZ,2009,Nigerian Used,121829,4600,Petrol,Automatic,"?5,720,000.00"
MERCEDES-BENZ,2010,Nigerian Used,96957,3500,Petrol,Automatic,"?6,240,000.00"
MERCEDES-BENZ,2013,Foreign Used,232813,4700,Petrol,Automatic,"?14,560,000.00"
LEXUS,2007,Foreign Used,124511,3500,Petrol,Automatic,"?4,200,000.00"
LEXUS,2015,Nigerian Used,24855,3500,Petrol,Automatic,"?10,920,000.00"
LAND ROVER,2006,Foreign Used,213515,4400,Petrol,Automatic,"?3,150,000.00"
TOYOTA,2011,Nigerian Used,114388,4000,Petrol,Automatic,"?10,500,000.00"
MERCEDES-BENZ,2008,Foreign Used,227689,3500,Petrol,Automatic,"?3,885,000.00"
TOYOTA,2010,Foreign Used,236601,2500,Petrol,Automatic,"?6,448,000.00"
LAND ROVER,2016,Foreign Used,102429,35,Petrol,Automatic,"?36,750,000.00"
TOYOTA,2017,Foreign Used,107748,2500,Petrol,Automatic,"?12,600,000.00"
LEXUS,2006,Foreign Used,100763,3000,Petrol,Automatic,"?3,150,000.00"
MERCEDES-BENZ,2011,Nigerian Used,112122,4700,Petrol,Automatic,"?6,760,000.00"
LEXUS,2007,Nigerian Used,170778,3300,Petrol,Automatic,"?4,680,000.00"
LEXUS,2004,Nigerian Used,98430,4700,Petrol,Automatic,"?4,680,000.00"
TOYOTA,2008,Foreign Used,93474,3500,Petrol,Automatic,"?6,300,000.00"
TOYOTA,2011,Foreign Used,211357,2500,Petrol,Automatic,"?4,515,000.00"
MERCEDES-BENZ,2015,Foreign Used,168946,3500,Petrol,Automatic,"?17,680,000.00"
TOYOTA,2015,Nigerian Used,67161,2500,Petrol,Automatic,"?10,400,000.00"
LEXUS,2007,Foreign Used,104138,3500,Petrol,Automatic,"?5,928,000.00"
TOYOTA,2010,Foreign Used,158684,2500,Petrol,Automatic,"?3,780,000.00"
MERCEDES-BENZ,2012,Foreign Used,165585,3500,Petrol,Automatic,"?13,520,000.00"
TOYOTA,2008,Nigerian Used,118743,3500,Petrol,Automatic,"?4,784,000.00"
TOYOTA,2010,Foreign Used,131164,2700,Petrol,Automatic,"?6,090,000.00"
TOYOTA,2009,Foreign Used,168603,2500,Petrol,Automatic,"?4,620,000.00"
LEXUS,2009,Foreign Used,246462,3500,Petrol,Automatic,"?5,200,000.00"
MERCEDES-BENZ,2006,Nigerian Used,231361,5000,Petrol,Automatic,"?3,675,000.00"
LAND ROVER,2014,Nigerian Used,56908,5000,Petrol,Automatic,"?26,000,000.00"
LEXUS,2008,Foreign Used,200262,35000,Petrol,Automatic,"?4,680,000.00"
TOYOTA,2009,Nigerian Used,205371,3500,Petrol,Automatic,"?7,072,000.00"
MERCEDES-BENZ,2006,Nigerian Used,380097,5000,Petrol,Automatic,"?5,200,000.00"
MERCEDES-BENZ,2015,Foreign Used,39662,3500,Petrol,Automatic,"?14,560,000.00"
LEXUS,2001,Foreign Used,199731,3000,Petrol,Automatic,"?3,150,000.00"
LEXUS,2008,Foreign Used,85901,3500,Petrol,Automatic,"?3,885,000.00"
TOYOTA,2005,Foreign Used,260730,4700,Petrol,Automatic,"?4,992,000.00"
TOYOTA,2007,Foreign Used,274477,2400,Petrol,Automatic,"?3,640,000.00"
TOYOTA,2011,Nigerian Used,114388,4000,Petrol,Automatic,"?10,500,000.00"
TOYOTA,2011,Foreign Used,166839,2500,Petrol,Automatic,"?4,160,000.00"
TOYOTA,2014,Foreign Used,70649,3500,Petrol,Automatic,"?8,400,000.00"
MERCEDES-BENZ,2008,Nigerian Used,650,4000,Petrol,Automatic,"?6,760,000.00"
ACURA,2011,Nigerian Used,90726,3700,Petrol,Automatic,"?4,200,000.00"
TOYOTA,2013,Nigerian Used,79393,4700,Petrol,Automatic,"?26,000,000.00"
LEXUS,2004,Nigerian Used,98430,4700,Petrol,Automatic,"?4,680,000.00"
TOYOTA,2010,Foreign Used,237886,2400,Petrol,Automatic,"?3,675,000.00"
LEXUS,2006,Nigerian Used,144513,3300,Petrol,Automatic,"?3,744,000.00"
TOYOTA,2015,Nigerian Used,67161,2500,Petrol,Automatic,"?10,400,000.00"
MERCEDES-BENZ,2016,Nigerian Used,62476,3500,Petrol,Automatic,"?15,750,000.00"
LEXUS,2008,Nigerian Used,224605,4600,Petrol,Automatic,"?4,725,000.00"
