Brand,Year of Manufacture,Condition,Mileage,Engine Size,Fuel,Transmission,Price
TOYOTA,2009,Nigerian Used,172537,3500,Petrol,Automatic,"?4,725,000.00"
MERCEDES-BENZ,2010,Nigerian Used,34365,3500,Petrol,Automatic,"?7,280,000.00"
FORD,2007,Nigerian Used,115975,3500,Petrol,Automatic,"?2,200,000.00"
PORSCHE,2017,Nigerian Used,68343,3600,Petrol,Automatic,"?18,900,000.00"
TOYOTA,2004,Nigerian Used,158023,4700,Petrol,Automatic,"?1,837,500.00"
LEXUS,2015,Foreign Used,98733,2500,Petrol,Automatic,"?9,450,000.00"
LEXUS,2004,Nigerian Used,182267,4700,Petrol,Automatic,"?2,625,000.00"
LEXUS,2002,Brand New,111408,3000,Petrol,Automatic,"?2,625,000.00"
HYUNDAI,2011,Foreign Used,139301,2400,Petrol,Automatic,"?4,160,000.00"
HYUNDAI,2015,Nigerian Used,85847,1600,Petrol,Automatic,"?5,040,000.00"
TOYOTA,2007,Nigerian Used,209228,2700,Petrol,Manual,"?4,200,000.00"
TOYOTA,2002,Nigerian Used,187433,3000,Petrol,Automatic,"?2,100,000.00"
TOYOTA,2009,Foreign Used,139042,2400,Petrol,Automatic,"?3,640,000.00"
TOYOTA,2008,Nigerian Used,141473,2400,Petrol,Automatic,"?2,925,000.00"
MERCEDES-BENZ,2008,Nigerian Used,263539,3000,Petrol,Automatic,"?3,150,000.00"
FORD,2007,Foreign Used,467397,3500,Petrol,Automatic,"?2,835,000.00"
TOYOTA,2009,Nigerian Used,85296,3500,Petrol,Automatic,"?4,830,000.00"
TOYOTA,2005,Nigerian Used,258088,3300,Petrol,Automatic,"?2,288,000.00"
TOYOTA,2015,Nigerian Used,70075,3000,Petrol,Automatic,"?4,725,000.00"
TOYOTA,2015,Foreign Used,71146,1800,Petrol,Automatic,"?6,500,000.00"
HYUNDAI,2011,Foreign Used,262343,2400,Petrol,Automatic,"?3,675,000.00"
HYUNDAI,2011,Foreign Used,177739,2400,Petrol,Automatic,"?4,888,000.00"
TOYOTA,2009,Nigerian Used,169241,2400,Petrol,Automatic,"?3,016,000.00"
LEXUS,2006,Foreign Used,201926,3000,Petrol,Automatic,"?4,160,000.00"
MERCEDES-BENZ,2012,Nigerian Used,95610,4700,Petrol,Automatic,"?4,350,000.00"
TOYOTA,2015,Foreign Used,62298,1800,Petrol,Automatic,"?6,032,000.00"
LEXUS,2010,Nigerian Used,163603,3500,Petrol,Automatic,"?4,688,000.00"
HYUNDAI,2013,Foreign Used,190676,2000,Petrol,Automatic,"?3,517,500.00"
TOYOTA,2012,Nigerian Used,370677,2500,Petrol,Automatic,"?4,387,500.00"
TOYOTA,2013,Foreign Used,79207,2400,Petrol,Automatic,"?4,960,000.00"
FORD,2012,Nigerian Used,88139,2000,Petrol,Automatic,"?3,675,000.00"
LAND ROVER,2008,Nigerian Used,78565,4400,Petrol,Automatic,"?2,415,000.00"
TOYOTA,2009,Foreign Used,167190,1800,Petrol,Automatic,"?4,160,000.00"
TOYOTA,2016,Foreign Used,218050,1800,Petrol,Automatic,"?6,760,000.00"
LEXUS,2008,Foreign Used,155665,3500,Petrol,Automatic,"?3,570,000.00"
HYUNDAI,2011,Foreign Used,189814,2000,Petrol,Automatic,"?3,255,000.00"
LEXUS,2004,Nigerian Used,220223,3300,Petrol,Automatic,"?2,600,000.00"
LEXUS,2005,Foreign Used,101051,3300,Petrol,Automatic,"?2,520,000.00"
FORD,2003,Nigerian Used,426254,4000,Petrol,Automatic,"?2,047,500.00"
TOYOTA,2008,Nigerian Used,307470,2400,Petrol,Automatic,"?2,835,000.00"
LEXUS,2014,Foreign Used,187603,3300,Petrol,Automatic,"?9,240,000.00"
FORD,2007,Nigerian Used,115975,3500,Petrol,Automatic,"?2,200,000.00"
HYUNDAI,2011,Foreign Used,115527,2400,Petrol,Automatic,"?3,675,000.00"
HYUNDAI,2017,Nigerian Used,66012,1600,Petrol,Automatic,"?6,825,000.00"
MERCEDES-BENZ,2013,Nigerian Used,239707,4500,Petrol,Automatic,"?18,720,000.00"
TOYOTA,2009,Nigerian Used,172537,3500,Petrol,Automatic,"?4,725,000.00"
FORD,2012,Nigerian Used,130722,3500,Petrol,CVT,"?2,835,000.00"
TOYOTA,2010,Nigerian Used,108350,2400,Petrol,Automatic,"?3,712,500.00"
LEXUS,2010,Foreign Used,279373,3500,Petrol,Automatic,"?9,880,000.00"
HYUNDAI,2013,Foreign Used,139775,2000,Petrol,Automatic,"?8,112,000.00"
TOYOTA,2019,Foreign Used,16170,1800,Hybrid,CVT,"?14,175,000.00"
MERCEDES-BENZ,2007,Nigerian Used,210226,4500,Petrol,Automatic,"?4,249,440.00"
MERCEDES-BENZ,2007,Foreign Used,192028,3500,Petrol,Automatic,"?6,448,000.00"
LEXUS,2004,Nigerian Used,179555,3400,Petrol,Automatic,"?3,640,000.00"
TOYOTA,2011,Foreign Used,147685,1800,Petrol,Automatic,"?4,472,000.00"
HYUNDAI,2012,Nigerian Used,259708,2000,Petrol,Automatic,"?3,640,000.00"
JEEP,2011,Foreign Used,119865,3700,Petrol,Automatic,"?5,775,000.00"
HYUNDAI,2018,Foreign Used,159401,2400,Petrol,Automatic,"?13,125,000.00"
HYUNDAI,2011,Foreign Used,229956,2400,Petrol,Automatic,"?3,360,000.00"
TOYOTA,2004,Nigerian Used,158023,4700,Petrol,Automatic,"?1,837,500.00"
ACURA,2005,Foreign Used,288147,3500,Petrol,Automatic,"?2,310,000.00"
LEXUS,2004,Nigerian Used,78851,3600,Petrol,Automatic,"?3,848,000.00"
LEXUS,2002,Foreign Used,10540,35,Petrol,Automatic,"?2,730,000.00"
PORSCHE,2017,Nigerian Used,68343,3600,Petrol,Automatic,"?18,900,000.00"
LEXUS,2003,Nigerian Used,299647,4700,Petrol,Automatic,"?3,675,000.00"
HYUNDAI,2012,Foreign Used,129479,2000,Petrol,Automatic,"?4,168,000.00"
LEXUS,2010,Nigerian Used,108096,5700,Petrol,Automatic,"?15,750,000.00"
TOYOTA,2011,Foreign Used,95491,1800,Petrol,Automatic,"?4,680,000.00"
TOYOTA,2010,Foreign Used,185585,1800,Petrol,Automatic,"?3,675,000.00"
LEXUS,2004,Nigerian Used,78851,3600,Petrol,Automatic,"?3,848,000.00"
TOYOTA,2006,Foreign Used,82216,3000,Petrol,Automatic,"?3,224,000.00"
HYUNDAI,2011,Foreign Used,262343,2400,Petrol,Automatic,"?3,675,000.00"
HYUNDAI,2013,Foreign Used,139775,2000,Petrol,Automatic,"?8,112,000.00"
HYUNDAI,2016,Foreign Used,194783,2400,Petrol,Automatic,"?5,250,000.00"
TOYOTA,2008,Nigerian Used,56479,3500,Petrol,Automatic,"?5,400,000.00"
TOYOTA,2019,Foreign Used,16170,1800,Hybrid,CVT,"?14,175,000.00"
TOYOTA,2006,Foreign Used,136201,2500,Petrol,Automatic,"?2,625,000.00"
LEXUS,2003,Nigerian Used,252622,3500,Petrol,Automatic,"?2,600,000.00"
PONTIAC,2007,Foreign Used,322537,3400,Petrol,Automatic,"?2,205,000.00"
FORD,2008,Foreign Used,298967,5400,Petrol,Automatic,"?2,625,000.00"
TOYOTA,2013,Foreign Used,79207,2400,Petrol,Automatic,"?4,960,000.00"
LEXUS,2003,Nigerian Used,252622,3500,Petrol,Automatic,"?2,600,000.00"
TOYOTA,2017,Foreign Used,101103,1800,Petrol,Automatic,"?7,350,000.00"
TOYOTA,2006,Foreign Used,136201,2500,Petrol,Automatic,"?2,625,000.00"
TOYOTA,2012,Foreign Used,78080,2800,Petrol,Automatic,"?4,200,000.00"
TOYOTA,2006,Nigerian Used,206432,3300,Petrol,Automatic,"?2,860,000.00"
FORD,2007,Nigerian Used,127500,4000,Petrol,Automatic,"?2,205,000.00"
TOYOTA,2013,Foreign Used,74142,1800,Petrol,Automatic,"?4,095,000.00"
HYUNDAI,2016,Foreign Used,194783,2400,Petrol,Automatic,"?5,250,000.00"
TOYOTA,2003,Nigerian Used,199651,4000,Petrol,Automatic,"?2,912,000.00"
TOYOTA,2010,Nigerian Used,87786,2400,Petrol,Automatic,"?3,150,000.00"
TOYOTA,2004,Nigerian Used,345811,3300,Petrol,Automatic,"?2,496,000.00"
FORD,2008,Foreign Used,298967,5400,Petrol,Automatic,"?2,625,000.00"
TOYOTA,2013,Foreign Used,74142,1800,Petrol,Automatic,"?4,095,000.00"
TOYOTA,2012,Nigerian Used,370677,2500,Petrol,Automatic,"?4,387,500.00"
TOYOTA,2009,Foreign Used,207347,1800,Petrol,Automatic,"?3,727,500.00"
HUMMER,2005,Nigerian Used,139809,6000,Petrol,Automatic,"?6,300,000.00"
HYUNDAI,2012,Nigerian Used,259708,2000,Petrol,Automatic,"?3,640,000.00"
LEXUS,2005,Nigerian Used,134607,4500,Petrol,Automatic,"?2,625,000.00"
TOYOTA,2012,Foreign Used,78080,2800,Petrol,Automatic,"?4,200,000.00"
HYUNDAI,2016,Nigerian Used,191019,2400,Petrol,Automatic,"?4,725,000.00"
CHEVROLET,2000,Foreign Used,319491,2200,Petrol,Manual,"?3,150,000.00"
TOYOTA,2007,Nigerian Used,102334,2400,Petrol,Automatic,"?2,415,000.00"
TOYOTA,2009,Foreign Used,167190,1800,Petrol,Automatic,"?4,160,000.00"
TOYOTA,2015,Foreign Used,236022,1800,Petrol,Automatic,"?6,090,000.00"
HYUNDAI,2015,Foreign Used,172745,2400,Petrol,Automatic,"?5,775,000.00"
DODGE,2012,Nigerian Used,190880,3500,Petrol,Automatic,"?4,725,000.00"
HONDA,2010,Nigerian Used,308710,1300,Petrol,Automatic,"?2,940,000.00"
TOYOTA,2013,Foreign Used,88055,2500,Petrol,Automatic,"?5,720,000.00"
TOYOTA,2007,Nigerian Used,81254,3500,Petrol,Automatic,"?2,600,000.00"
TOYOTA,2005,Nigerian Used,98692,2400,Petrol,Automatic,"?2,600,000.00"
FORD,2012,Nigerian Used,226281,3500,Petrol,Automatic,"?2,520,000.00"
TOYOTA,2007,Nigerian Used,163559,3500,Petrol,Automatic,"?2,520,000.00"
ACURA,2008,Nigerian Used,158238,2300,Petrol,Automatic,"?3,432,000.00"
HYUNDAI,2011,Foreign Used,138548,2400,Petrol,Automatic,"?3,952,000.00"
HYUNDAI,2014,Foreign Used,112615,2400,Petrol,Automatic,"?6,825,000.00"
HYUNDAI,2015,Nigerian Used,180020,2400,Petrol,Automatic,"?5,250,000.00"
TOYOTA,2009,Nigerian Used,124173,2400,Petrol,Automatic,"?3,328,000.00"
HYUNDAI,2018,Foreign Used,134257,1800,Petrol,Automatic,"?8,400,000.00"
TOYOTA,2013,Nigerian Used,78485,3500,Petrol,Automatic,"?4,680,000.00"
LEXUS,2004,Nigerian Used,254872,3300,Petrol,Automatic,"?3,150,000.00"
LAND ROVER,2014,Foreign Used,204656,3500,Petrol,Automatic,"?22,050,000.00"
TOYOTA,2010,Foreign Used,93012,1800,Petrol,Automatic,"?4,680,000.00"
TOYOTA,2009,Foreign Used,306514,1800,Petrol,Automatic,"?3,570,000.00"
HYUNDAI,2016,Nigerian Used,77842,2400,Petrol,Automatic,"?6,032,000.00"
HYUNDAI,2016,Nigerian Used,191019,2400,Petrol,Automatic,"?4,725,000.00"
TOYOTA,2012,Nigerian Used,82882,2500,Petrol,Automatic,"?3,570,000.00"
HYUNDAI,2015,Nigerian Used,71181,1600,Petrol,Automatic,"?8,400,000.00"
TOYOTA,2007,Nigerian Used,290721,3500,Petrol,Automatic,"?2,782,500.00"
HYUNDAI,2012,Foreign Used,132315,2400,Petrol,Automatic,"?3,990,000.00"
LEXUS,2004,Foreign Used,144353,3300,Petrol,Automatic,"?2,940,000.00"
DODGE,2008,Nigerian Used,2870739,3500,Petrol,Automatic,"?2,100,000.00"
TOYOTA,2011,Foreign Used,199390,1800,Petrol,Automatic,"?4,368,000.00"
HYUNDAI,2015,Nigerian Used,180020,2400,Petrol,Automatic,"?5,250,000.00"
TOYOTA,2005,Nigerian Used,98692,2400,Petrol,Automatic,"?2,600,000.00"
TOYOTA,2004,Nigerian Used,184240,3300,Petrol,Automatic,"?1,890,000.00"
HYUNDAI,2015,Nigerian Used,86960,3300,Petrol,Automatic,"?6,615,000.00"
FORD,2010,Nigerian Used,280188,3000,Petrol,Automatic,"?2,625,000.00"
TOYOTA,2007,Nigerian Used,219127,2400,Petrol,Automatic,"?2,600,000.00"
HYUNDAI,2015,Foreign Used,122448,2400,Petrol,AMT,"?9,450,000.00"
TOYOTA,2011,Nigerian Used,163716,2400,Petrol,Automatic,"?2,730,000.00"
TOYOTA,2007,Nigerian Used,188877,2400,Petrol,Automatic,"?2,600,000.00"
TOYOTA,2013,Foreign Used,88055,2500,Petrol,Automatic,"?5,720,000.00"
TOYOTA,2009,Foreign Used,92602,1800,Petrol,Automatic,"?3,570,000.00"
LEXUS,2005,Nigerian Used,76060,3300,Petrol,Automatic,"?2,600,000.00"
FORD,2010,Foreign Used,463172,3000,Petrol,Automatic,"?2,835,000.00"
TOYOTA,2009,Nigerian Used,169361,3600,Petrol,Automatic,"?2,808,000.00"
FORD,2009,Nigerian Used,11096,3500,Petrol,Automatic,"?2,100,000.00"
TOYOTA,2012,Nigerian Used,143200,2500,Petrol,Automatic,"?3,990,000.00"
TOYOTA,2011,Foreign Used,199390,1800,Petrol,Automatic,"?4,368,000.00"
LEXUS,2008,Nigerian Used,100098,3500,Petrol,Automatic,"?3,675,000.00"
LAND ROVER,2007,Nigerian Used,185503,4200,Petrol,Automatic,"?2,100,000.00"
TOYOTA,2002,Nigerian Used,196880,5600,Petrol,Automatic,"?2,310,000.00"
LEXUS,2004,Nigerian Used,195760,3300,Petrol,Automatic,"?2,496,000.00"
TOYOTA,2008,Nigerian Used,308809,3500,Petrol,Automatic,"?2,625,000.00"
HYUNDAI,2014,Foreign Used,112615,2400,Petrol,Automatic,"?6,825,000.00"
TOYOTA,2007,Nigerian Used,91854,2400,Petrol,Automatic,"?2,205,000.00"
LEXUS,2006,Nigerian Used,310182,3000,Petrol,Automatic,"?2,310,000.00"
TOYOTA,2008,Nigerian Used,211165,3500,Petrol,Automatic,"?2,625,000.00"
LEXUS,2007,Nigerian Used,228749,2500,Petrol,Automatic,"?2,782,500.00"
LEXUS,2010,Nigerian Used,163603,3500,Petrol,Automatic,"?4,688,000.00"
TOYOTA,2010,Nigerian Used,87786,2400,Petrol,Automatic,"?3,150,000.00"
LAND ROVER,2014,Foreign Used,204656,3500,Petrol,Automatic,"?22,050,000.00"
TOYOTA,2004,Nigerian Used,138325,4700,Petrol,Automatic,"?2,912,000.00"
LEXUS,2005,Nigerian Used,152784,2500,Petrol,Automatic,"?2,782,500.00"
ACURA,2009,Nigerian Used,10351,35,Petrol,Automatic,"?3,640,000.00"
LEXUS,2004,Nigerian Used,106126,3300,Petrol,Automatic,"?2,288,000.00"
MERCEDES-BENZ,2007,Foreign Used,305375,3500,Petrol,Automatic,"?3,675,000.00"
TOYOTA,2009,Foreign Used,306514,1800,Petrol,Automatic,"?3,570,000.00"
ACURA,2007,Nigerian Used,354807,3700,Petrol,Automatic,"?2,572,500.00"
TOYOTA,2010,Foreign Used,93012,1800,Petrol,Automatic,"?4,680,000.00"
TOYOTA,2009,Nigerian Used,256020,2400,Petrol,Automatic,"?2,600,000.00"
FORD,2010,Nigerian Used,83505,1600,Petrol,Automatic,"?1,912,500.00"
TOYOTA,2011,Nigerian Used,145611,3500,Petrol,Automatic,"?2,520,000.00"
LEXUS,2002,Foreign Used,194524,3300,Petrol,Automatic,"?2,520,000.00"
HYUNDAI,2012,Foreign Used,180555,1800,Petrol,Automatic,"?3,990,000.00"
NISSAN,2008,Foreign Used,113279,3500,Petrol,Automatic,"?3,675,000.00"
LEXUS,2007,Foreign Used,259837,3500,Petrol,Automatic,"?4,732,000.00"
LEXUS,2002,Nigerian Used,125060,3000,Petrol,Automatic,"?2,496,000.00"
FORD,2010,Nigerian Used,280188,3000,Petrol,Automatic,"?2,625,000.00"
TOYOTA,2008,Nigerian Used,211165,3500,Petrol,Automatic,"?2,625,000.00"
TOYOTA,2004,Nigerian Used,258147,3300,Petrol,Automatic,"?2,496,000.00"
TOYOTA,2012,Nigerian Used,34224,3500,Petrol,Automatic,"?4,410,000.00"
LEXUS,2005,Nigerian Used,76060,3300,Petrol,Automatic,"?2,600,000.00"
TOYOTA,2009,Nigerian Used,136477,1800,Petrol,Automatic,"?3,692,000.00"
TOYOTA,2007,Nigerian Used,102334,2400,Petrol,Automatic,"?2,415,000.00"
FORD,2009,Nigerian Used,11096,3500,Petrol,Automatic,"?2,100,000.00"
TOYOTA,2011,Nigerian Used,57764,1800,Petrol,Automatic,"?4,680,000.00"
TOYOTA,2005,Nigerian Used,436987,1600,Petrol,Automatic,"?2,137,500.00"
LEXUS,2004,Nigerian Used,195760,3300,Petrol,Automatic,"?2,496,000.00"
TOYOTA,2008,Foreign Used,166063,2400,Petrol,Automatic,"?3,952,000.00"
ACURA,2008,Nigerian Used,186539,3700,Petrol,Automatic,"?2,940,000.00"
TOYOTA,2009,Nigerian Used,240394,1800,Petrol,Automatic,"?3,432,000.00"
MERCEDES-BENZ,2013,Nigerian Used,82908,3500,Petrol,Automatic,"?4,680,000.00"
TOYOTA,2009,Nigerian Used,120332,2400,Petrol,Automatic,"?2,600,000.00"
MERCEDES-BENZ,2006,Foreign Used,242654,5000,Petrol,Automatic,"?4,725,000.00"
PONTIAC,2009,Foreign Used,246153,1800,Petrol,Automatic,"?3,360,000.00"
CHRYSLER,2013,Foreign Used,182823,24,Petrol,Automatic,"?4,200,000.00"
LEXUS,2009,Nigerian Used,1530065,3500,Petrol,Automatic,"?4,784,000.00"
TOYOTA,2012,Foreign Used,89735,1800,Petrol,Automatic,"?5,200,000.00"
FORD,2013,Nigerian Used,99988,3500,Petrol,Automatic,"?2,625,000.00"
TOYOTA,2006,Nigerian Used,341149,3500,Petrol,Automatic,"?2,625,000.00"
TOYOTA,2004,Nigerian Used,96072,4000,Petrol,Automatic,"?1,837,500.00"
LEXUS,2005,Foreign Used,101051,3300,Petrol,Automatic,"?2,520,000.00"
FORD,2013,Foreign Used,150025,2000,Petrol,Automatic,"?3,990,000.00"
TOYOTA,2007,Foreign Used,184835,2400,Petrol,Automatic,"?3,952,000.00"
HYUNDAI,2013,Nigerian Used,102268,1800,Petrol,Automatic,"?3,120,000.00"
ACURA,2006,Nigerian Used,114031,3500,Petrol,Automatic,"?1,768,000.00"
TOYOTA,2013,Nigerian Used,50411,1800,Petrol,Automatic,"?3,150,000.00"
TOYOTA,2007,Foreign Used,258598,1800,Petrol,Automatic,"?3,328,000.00"
HYUNDAI,2013,Nigerian Used,85345,2400,Petrol,Automatic,"?4,042,500.00"
HYUNDAI,2012,Nigerian Used,58248,2000,Petrol,Automatic,"?3,125,000.00"
TOYOTA,2013,Nigerian Used,50411,1800,Petrol,Automatic,"?3,150,000.00"
HYUNDAI,2011,Foreign Used,102194,1800,Petrol,Automatic,"?3,465,000.00"
ACURA,2009,Nigerian Used,429408,3700,Petrol,Automatic,"?2,625,000.00"
LEXUS,2006,Nigerian Used,310182,3000,Petrol,Automatic,"?2,310,000.00"
LEXUS,2002,Foreign Used,427071,3000,Petrol,Automatic,"?2,887,500.00"
TOYOTA,2015,Foreign Used,62148,1800,Petrol,Automatic,"?5,775,000.00"
LEXUS,2008,Nigerian Used,132323,3500,Petrol,Automatic,"?2,625,000.00"
TOYOTA,2009,Nigerian Used,196918,2400,Petrol,Automatic,"?3,328,000.00"
TOYOTA,2007,Nigerian Used,203882,3300,Petrol,Automatic,"?2,500,000.00"
TOYOTA,2010,Nigerian Used,133492,2400,Petrol,Automatic,"?2,964,000.00"
TOYOTA,2015,Nigerian Used,90272,2400,Petrol,Automatic,"?5,928,000.00"
TOYOTA,2006,Foreign Used,290415,3500,Petrol,Automatic,"?2,625,000.00"
ACURA,2010,Nigerian Used,112020,3700,Petrol,Automatic,"?4,680,000.00"
HYUNDAI,2014,Nigerian Used,101951,2000,Petrol,Automatic,"?3,360,000.00"
LEXUS,2008,Nigerian Used,213189,3500,Petrol,Automatic,"?3,360,000.00"
TOYOTA,2013,Foreign Used,195542,1800,Petrol,Automatic,"?4,992,000.00"
TOYOTA,2015,Foreign Used,46336,3500,Petrol,Automatic,"?15,080,000.00"
FORD,2010,Foreign Used,463172,3000,Petrol,Automatic,"?2,835,000.00"
HYUNDAI,2014,Foreign Used,122936,3800,Petrol,Automatic,"?5,565,000.00"
FORD,2007,Foreign Used,292069,3500,Petrol,Automatic,"?3,640,000.00"
TOYOTA,2004,Nigerian Used,165284,3300,Petrol,Automatic,"?2,756,000.00"
PONTIAC,2007,Foreign Used,322537,3400,Petrol,Automatic,"?2,205,000.00"
TOYOTA,2007,Foreign Used,194783,2000,Petrol,Automatic,"?4,160,000.00"
MERCEDES-BENZ,2007,Foreign Used,305375,3500,Petrol,Automatic,"?3,675,000.00"
TOYOTA,2004,Nigerian Used,141882,3500,Petrol,Automatic,"?2,310,000.00"
TOYOTA,2010,Foreign Used,219320,1800,Petrol,Automatic,"?3,952,000.00"
MERCEDES-BENZ,2008,Nigerian Used,324323,4700,Petrol,Automatic,"?6,760,000.00"
TOYOTA,2012,Foreign Used,279251,1800,Petrol,Automatic,"?4,515,000.00"
LEXUS,2004,Nigerian Used,120847,3300,Petrol,Automatic,"?2,392,000.00"
LEXUS,2006,Nigerian Used,128350,2500,Petrol,Automatic,"?2,625,000.00"
TOYOTA,2005,Nigerian Used,94077,3300,Petrol,Automatic,"?2,520,000.00"
MERCEDES-BENZ,2006,Nigerian Used,13571,3400,Petrol,Automatic,"?3,744,000.00"
TOYOTA,2009,Nigerian Used,134528,3500,Petrol,Automatic,"?2,704,000.00"
HUMMER,2005,Nigerian Used,139809,6000,Petrol,Automatic,"?6,300,000.00"
LEXUS,2003,Nigerian Used,206338,3000,Petrol,Automatic,"?2,100,000.00"
HYUNDAI,2016,Nigerian Used,33844,20000,Petrol,Automatic,"?6,344,000.00"
LEXUS,2005,Nigerian Used,148435,3000,Petrol,Automatic,"?2,310,000.00"
HYUNDAI,2015,Foreign Used,127274,5000,Petrol,Automatic,"?10,500,000.00"
TOYOTA,2008,Nigerian Used,45961,3500,Petrol,Automatic,"?2,205,000.00"
TOYOTA,2015,Foreign Used,46336,3500,Petrol,Automatic,"?15,080,000.00"
FORD,2010,Nigerian Used,248893,3500,Petrol,Automatic,"?2,467,500.00"
LEXUS,2006,Nigerian Used,121412,3300,Petrol,Automatic,"?2,310,000.00"
LEXUS,2002,Nigerian Used,218353,3000,Petrol,Automatic,"?1,995,000.00"
DODGE,2008,Nigerian Used,2870739,3500,Petrol,Automatic,"?2,100,000.00"
TOYOTA,2010,Foreign Used,185460,1800,Petrol,Automatic,"?3,622,500.00"
LEXUS,2005,Nigerian Used,156418,3300,Petrol,Automatic,"?3,328,000.00"
TOYOTA,2006,Nigerian Used,96343,3500,Petrol,Automatic,"?1,995,000.00"
TOYOTA,2008,Nigerian Used,93578,3500,Petrol,Automatic,"?3,952,000.00"
TOYOTA,2008,Foreign Used,166063,2400,Petrol,Automatic,"?3,952,000.00"
TOYOTA,2009,Nigerian Used,216256,1800,Petrol,Automatic,"?3,120,000.00"
CHEVROLET,2011,Foreign Used,175142,3600,Petrol,Automatic,"?4,725,000.00"
TOYOTA,2008,Foreign Used,306427,5700,Petrol,Automatic,"?15,080,000.00"
TOYOTA,2016,Foreign Used,76965,1800,Petrol,Automatic,"?6,090,000.00"
CHRYSLER,2013,Foreign Used,182823,24,Petrol,Automatic,"?4,200,000.00"
TOYOTA,2002,Nigerian Used,215340,3000,Petrol,Automatic,"?2,200,000.00"
TOYOTA,2005,Nigerian Used,436987,1600,Petrol,Automatic,"?2,137,500.00"
TOYOTA,2007,Nigerian Used,203882,3300,Petrol,Automatic,"?2,500,000.00"
LAND ROVER,2009,Nigerian Used,128701,4400,Petrol,Automatic,"?2,940,000.00"
CHRYSLER,2015,Nigerian Used,57904,3600,Petrol,Automatic,"?5,040,000.00"
ACURA,2010,Nigerian Used,112020,3700,Petrol,Automatic,"?4,680,000.00"
LEXUS,2002,Foreign Used,427071,3000,Petrol,Automatic,"?2,887,500.00"
TOYOTA,2012,Foreign Used,279251,1800,Petrol,Automatic,"?4,515,000.00"
TOYOTA,2007,Nigerian Used,108179,2400,Petrol,Automatic,"?2,625,000.00"
TOYOTA,2005,Nigerian Used,245731,3300,Petrol,Automatic,"?2,310,000.00"
MERCEDES-BENZ,2008,Nigerian Used,324323,4700,Petrol,Automatic,"?6,760,000.00"
TOYOTA,2010,Foreign Used,90364,1800,Petrol,Automatic,"?3,858,750.00"
TOYOTA,2003,Nigerian Used,342633,4000,Petrol,Automatic,"?2,300,000.00"
TOYOTA,2009,Foreign Used,171795,1800,Petrol,Automatic,"?3,465,000.00"
LEXUS,2002,Nigerian Used,170739,3300,Petrol,Automatic,"?1,785,000.00"
CHEVROLET,2012,Nigerian Used,215704,2400,Petrol,Automatic,"?3,260,000.00"
TOYOTA,2012,Nigerian Used,96357,1800,Petrol,Automatic,"?3,640,000.00"
TOYOTA,2003,Foreign Used,321420,3000,Petrol,Automatic,"?2,641,600.00"
LEXUS,2006,Foreign Used,210836,3000,Petrol,Automatic,"?2,835,000.00"
FORD,2007,Nigerian Used,209088,3500,Petrol,Automatic,"?1,890,000.00"
TOYOTA,2010,Foreign Used,85212,2500,Petrol,Automatic,"?4,264,000.00"
FORD,2010,Nigerian Used,248893,3500,Petrol,Automatic,"?2,467,500.00"
TOYOTA,2006,Nigerian Used,96343,3500,Petrol,Automatic,"?1,995,000.00"
LEXUS,2005,Nigerian Used,57855,3300,Petrol,Automatic,"?2,835,000.00"
TOYOTA,2007,Nigerian Used,200280,20000,Petrol,Automatic,"?2,600,000.00"
MERCEDES-BENZ,2010,Nigerian Used,84345,3500,Petrol,Automatic,"?5,775,000.00"
TOYOTA,2011,Foreign Used,77646,2500,Petrol,Automatic,"?2,835,000.00"
TOYOTA,2016,Nigerian Used,49604,1800,Petrol,Automatic,"?5,200,000.00"
TOYOTA,2007,Nigerian Used,144602,3300,Petrol,Automatic,"?2,600,000.00"
TOYOTA,2007,Foreign Used,10199,3500,Petrol,Automatic,"?2,362,500.00"
CHEVROLET,2009,Foreign Used,274542,3600,Petrol,Automatic,"?6,300,000.00"
TOYOTA,2007,Nigerian Used,285350,2400,Petrol,Automatic,"?2,205,000.00"
HYUNDAI,2011,Foreign Used,89090,2400,Petrol,Automatic,"?4,160,000.00"
TOYOTA,2008,Nigerian Used,318285,2400,Petrol,Automatic,"?2,964,000.00"
TOYOTA,2010,Nigerian Used,189739,2500,Petrol,Automatic,"?3,432,000.00"
FORD,2007,Nigerian Used,95227,3500,Petrol,Automatic,"?2,600,000.00"
LEXUS,2003,Nigerian Used,122125,3000,Petrol,Automatic,"?2,080,000.00"
TOYOTA,2003,Nigerian Used,112583,3000,Petrol,Automatic,"?2,100,000.00"
TOYOTA,2011,Nigerian Used,248863,3500,Petrol,Automatic,"?6,240,000.00"
TOYOTA,2009,Nigerian Used,274265,2400,Petrol,Automatic,"?2,415,000.00"
TOYOTA,2005,Nigerian Used,245731,3300,Petrol,Automatic,"?2,310,000.00"
KIA,2005,Foreign Used,162872,3500,Petrol,Automatic,"?2,835,000.00"
TOYOTA,2011,Nigerian Used,135036,1800,Petrol,Automatic,"?3,224,000.00"
LEXUS,2008,Foreign Used,149092,3500,Petrol,Automatic,"?5,145,000.00"
TOYOTA,2007,Nigerian Used,105517,3500,Petrol,Automatic,"?2,600,000.00"
TOYOTA,2009,Nigerian Used,143829,2700,Petrol,Automatic,"?5,512,000.00"
TOYOTA,2002,Nigerian Used,215340,3000,Petrol,Automatic,"?2,200,000.00"
